bbl,address,bldgclass,numfloors,unitsres,yearbuilt,latitude,longitude
1004000038.00000000,60 AVENUE B,C7,6.0000000,22,1900,40.7235945,-73.9826107
1004360036.00000000,121 ST MARKS PLACE,C7,6.0000000,30,1907,40.7269844,-73.9833675
1004350030.00000000,125 AVENUE A,C7,6.0000000,10,1920,40.7266605,-73.9833893
1003990043.00000000,189 EAST 3 STREET,C7,6.0000000,16,1900,40.7231417,-73.9835128
1003990024.00000000,230 EAST 4 STREET,C1,6.0000000,18,1900,40.7233668,-73.9832999
1003990026.00000000,234 EAST 4 STREET,C7,6.0000000,28,1900,40.7233009,-73.9831484
1003990030.00000000,50 AVENUE B,C7,6.0000000,26,1900,40.7232404,-73.9828237
1003990033.00000000,46 AVENUE B,C7,6.0000000,21,1900,40.7231197,-73.9829139
1003990041.00000000,191 EAST 3 STREET,C7,6.0000000,12,1900,40.7230923,-73.9833974
1003990047.00000000,181 EAST 3 STREET,C7,6.0000000,32,1900,40.7232927,-73.9838663
1004000024.00000000,536 EAST 5 STREET,C7,6.0000000,22,1929,40.7240145,-73.9829462
1004000026.00000000,540 EAST 5 STREET,C7,6.0000000,22,1929,40.7239623,-73.9828199
1004000047.00000000,223 EAST 4 STREET,C6,6.0000000,19,1937,40.7237867,-73.9831555
1004010056.00000000,515 EAST 5 STREET,C4,6.0000000,24,1920,40.7247090,-73.9834727
1003990038.00000000,38 AVENUE B,C7,6.0000000,10,1900,40.7228562,-73.9831052
1004000039.00000000,235 EAST 4 STREET,C7,6.0000000,30,1920,40.7235039,-73.9826793
1004020039.00000000,102 AVENUE B,C6,6.0000000,5,1900,40.7248651,-73.9816219
1004000045.00000000,225 EAST 4 STREET,C6,6.0000000,21,1937,40.7237482,-73.9830581
1004000050.00000000,213 EAST 4 STREET,C7,6.0000000,28,1900,40.7238993,-73.9834188
1004000061.00000000,193 EAST 4 STREET,C7,6.0000000,11,1900,40.7242397,-73.9842232
1004010047.00000000,533 EAST 5 STREET,C4,6.0000000,24,1900,40.7244097,-73.9827621
1004010042.00000000,543 EAST 5 STREET,C7,6.0000000,22,1900,40.7242559,-73.9823941
1004360009.00000000,406 EAST 9 STREET,C7,6.0000000,22,1929,40.7278025,-73.9844533
1004360042.00000000,109 ST MARKS PLACE,C7,6.0000000,25,1920,40.7272205,-73.9838798
1004360034.00000000,131 AVENUE A,C7,6.0000000,30,1920,40.7269075,-73.9831835
1004350019.00000000,110 ST MARKS PLACE,C7,6.0000000,22,1920,40.7269351,-73.9843453
1004350025.00000000,122 ST MARKS PLACE,C7,6.0000000,22,1920,40.7267731,-73.9839304
1004350027.00000000,126 ST MARKS PLACE,C7,6.0000000,22,1920,40.7267209,-73.9838078
1004360037.00000000,119 ST MARKS PLACE,C7,6.0000000,22,1910,40.7270640,-73.9835082
1004360039.00000000,115 ST MARKS PLACE,C7,6.0000000,22,1900,40.7271134,-73.9836237
1004020032.00000000,178 EAST 7 STREET,C7,6.0000000,16,1900,40.7250381,-73.9816868
1004010030.00000000,540 EAST 6 STREET,C4,6.0000000,13,1920,40.7244892,-73.9822245
1004500028.00000000,348 EAST 9 STREET,C7,6.0000000,15,1900,40.7282253,-73.9855176
1004490021.00000000,64 ST MARKS PLACE,C4,6.0000000,26,1900,40.7278192,-73.9864341
1004500014.00000000,318 EAST 9 STREET,C7,6.0000000,16,1910,40.7286618,-73.9865494
1004500047.00000000,55 ST MARKS PLACE,C1,6.0000000,12,1900,40.7283379,-73.9864737
1004500018.00000000,328 EAST 9 STREET,C7,6.0000000,22,1900,40.7285410,-73.9862499
1009210039.00000000,348 EAST 15 STREET,C4,6.0000000,25,1910,40.7320676,-73.9827420
1009210041.00000000,342 EAST 15 STREET,C1,6.0000000,24,1910,40.7321417,-73.9829224
1009210046.00000000,332 EAST 15 STREET,C1,6.0000000,24,1910,40.7322817,-73.9832580
1009210017.00000000,329 EAST 14 STREET,C7,6.0000000,16,1910,40.7320677,-73.9835394
1003430065.00000000,57 PITT STREET,C7,6.0000000,22,1900,40.7177729,-73.9831137
1003480031.00000000,105 CLINTON STREET,C7,6.0000000,20,1920,40.7182289,-73.9858228
1003450014.00000000,325 EAST HOUSTON STREET,C4,6.0000000,17,1920,40.7208278,-73.9827702
1003450018.00000000,333 EAST HOUSTON STREET,C7,6.0000000,9,1920,40.7207509,-73.9824203
1003910056.00000000,307 EAST 8 STREET,C6,6.0000000,12,1900,40.7255565,-73.9799044
1003760016.00000000,248 EAST 7 STREET,C6,6.0000000,12,1928,40.7235059,-73.9780614
1003500028.00000000,23 CLINTON STREET,C7,6.0000000,16,1920,40.7206579,-73.9845488
1003550046.00000000,184 NORFOLK STREET,C4,6.0000000,38,1900,40.7214293,-73.9855227
1003550048.00000000,188 NORFOLK STREET,C4,6.0000000,13,1900,40.7215363,-73.9855154
1003720068.00000000,264 EAST 2 STREET,C1,6.0000000,24,1905,40.7210415,-73.9805515
1003850003.00000000,23 AVENUE B,C7,6.0000000,7,1900,40.7221645,-73.9830585
1003970038.00000000,6 AVENUE B,C7,6.0000000,10,1900,40.7217365,-73.9839244
1004290045.00000000,114 EAST 1 STREET,C7,6.0000000,30,1920,40.7227496,-73.9865938
1003760028.00000000,272 EAST 7 STREET,C4,6.0000000,24,1900,40.7231709,-73.9772642
1003760030.00000000,274 EAST 7 STREET,C4,6.0000000,13,1910,40.7231297,-73.9771705
1003480007.00000000,110 SUFFOLK STREET,C6,6.0000000,12,1920,40.7187202,-73.9859489
1003480032.00000000,107 CLINTON STREET,C7,6.0000000,20,1920,40.7181658,-73.9858552
1003480053.00000000,173 RIVINGTON STREET,C6,6.0000000,26,1920,40.7187695,-73.9847188
1003480073.00000000,172 DELANCEY STREET,C6,6.0000000,12,1920,40.7179736,-73.9851158
1003480074.00000000,170 DELANCEY STREET,C7,6.0000000,22,1920,40.7179983,-73.9851987
1003480076.00000000,168 1/2 DELANCEY STREET,C7,6.0000000,7,1900,40.7179956,-73.9853935
1003480021.00000000,163 RIVINGTON STREET,C7,6.0000000,20,1920,40.7189315,-73.9852959
1003440146.00000000,42 CLINTON STREET,C7,6.0000000,18,1920,40.7197384,-73.9844480
1003440154.00000000,141 ATTORNEY STREET,C6,6.0000000,19,1920,40.7198920,-73.9838960
1003440173.00000000,72 CLINTON STREET,C6,6.0000000,19,1925,40.7191593,-73.9848413
1003500077.00000000,182 STANTON STREET,C4,6.0000000,8,1920,40.7201884,-73.9838093
1003440067.00000000,89 PITT STREET,C4,6.0000000,12,1920,40.7187417,-73.9826228
1003440068.00000000,85 PITT STREET,C7,6.0000000,21,1920,40.7186210,-73.9826084
1003440069.00000000,210 RIVINGTON STREET,C7,6.0000000,20,1920,40.7184892,-73.9826770
1003440072.00000000,206 RIVINGTON STREET,C7,6.0000000,25,1920,40.7186100,-73.9828105
1003440073.00000000,202 RIVINGTON STREET,C7,6.0000000,33,1920,40.7186430,-73.9829692
1003440076.00000000,106 RIDGE STREET,C7,6.0000000,20,1914,40.7186952,-73.9831423
1003450029.00000000,200 STANTON STREET,C7,6.0000000,12,1920,40.7199165,-73.9828462
1003500050.00000000,6 CLINTON STREET,C4,6.0000000,20,1930,40.7210310,-73.9838091
1003500051.00000000,299 EAST HOUSTON STREET,C7,6.0000000,15,1920,40.7211793,-73.9838271
1003500057.00000000,309 EAST HOUSTON STREET,C6,6.0000000,28,1920,40.7210502,-73.9835205
1003890022.00000000,208 EAST 7 STREET,C7,6.0000000,28,1900,40.7243324,-73.9800094
1003910055.00000000,309 EAST 8 STREET,C4,6.0000000,17,1900,40.7255181,-73.9798322
1003780004.00000000,134 AVENUE C,C7,6.0000000,22,1900,40.7249194,-73.9779275
1003910048.00000000,323 EAST 8 STREET,C6,6.0000000,25,1910,40.7253314,-73.9793741
1003780009.00000000,140 AVENUE C,C7,6.0000000,25,1920,40.7250676,-73.9778156
1003760031.00000000,276 EAST 7 STREET,C6,6.0000000,19,1920,40.7230912,-73.9770767
1003760018.00000000,250 EAST 7 STREET,C6,6.0000000,12,1928,40.7234674,-73.9779712
1003760019.00000000,254 EAST 7 STREET,C6,6.0000000,20,1910,40.7234262,-73.9778702
1003760011.00000000,238 EAST 7 STREET,C4,6.0000000,30,1900,40.7236459,-73.9783897
1003760014.00000000,246 EAST 7 STREET,C1,6.0000000,24,1928,40.7235553,-73.9781733
1003770002.00000000,112 AVENUE C,C7,6.0000000,22,1900,40.7242717,-73.9783931
1003890019.00000000,202 EAST 7 STREET,C7,6.0000000,18,1910,40.7244477,-73.9802871
1003910003.00000000,131 AVENUE B,C6,6.0000000,18,1940,40.7258530,-73.9803336
1003890017.00000000,198 EAST 7 STREET,C6,6.0000000,14,1930,40.7245136,-73.9804458
1003900037.00000000,107 AVENUE C,C6,6.0000000,10,1900,40.7242856,-73.9789956
1003890038.00000000,643 EAST 6 STREET,C7,6.0000000,23,1900,40.7238218,-73.9794683
1003770067.00000000,241 EAST 7 STREET,C6,6.0000000,17,1900,40.7240521,-73.9782236
1003770062.00000000,249 EAST 7 STREET,C6,6.0000000,13,2001,40.7239038,-73.9778737
1003770066.00000000,243 EAST 7 STREET,C7,6.0000000,8,1899,40.7240192,-73.9781442
1003770016.00000000,368 EAST 8 STREET,C6,6.0000000,29,1923,40.7241453,-73.9776968
1003890009.00000000,184 EAST 7 STREET,C6,6.0000000,20,1900,40.7248596,-73.9810555
1003890020.00000000,204 EAST 7 STREET,C6,6.0000000,21,1900,40.7244148,-73.9802078
1003910011.00000000,608 EAST 9 STREET,C4,6.0000000,24,1910,40.7258530,-73.9798862
1003910059.00000000,299 EAST 8 STREET,C1,6.0000000,30,1900,40.7256691,-73.9801749
1003910012.00000000,610 EAST 9 STREET,C1,6.0000000,24,1910,40.7258090,-73.9798105
1003900009.00000000,304 EAST 8 STREET,C6,6.0000000,16,1900,40.7252355,-73.9802905
1003900050.00000000,209 EAST 7 STREET,C6,6.0000000,29,1900,40.7247194,-73.9798108
1003780039.00000000,115 AVENUE D,C7,6.0000000,20,1900,40.7238952,-73.9761420
1003890036.00000000,645 EAST 6 STREET,C7,6.0000000,15,1935,40.7237669,-73.9793349
1003890021.00000000,206 EAST 7 STREET,C6,6.0000000,19,1900,40.7243818,-73.9801284
1003900042.00000000,219 EAST 7 STREET,C6,6.0000000,24,1910,40.7245244,-73.9793419
1003910057.00000000,303 EAST 8 STREET,C6,6.0000000,12,1900,40.7256005,-73.9800270
1003890018.00000000,200 EAST 7 STREET,C1,6.0000000,18,1910,40.7244807,-73.9803665
1003250001.00000000,140 BARUCH PLACE,C4,6.0000000,36,1920,40.7184085,-73.9764181
1003860010.00000000,53 AVENUE B,C7,6.0000000,16,1900,40.7230812,-73.9823656
1003860053.00000000,233 EAST 3 STREET,C1,6.0000000,29,1910,40.7223262,-73.9815793
1003870140.00000000,77 AVENUE C,C7,6.0000000,16,1900,40.7232619,-73.9798040
1003500007.00000000,178 SUFFOLK STREET,C6,6.0000000,6,1910,40.7210806,-73.9847327
1003500012.00000000,271 EAST HOUSTON STREET,C7,6.0000000,15,1920,40.7214566,-73.9846604
1003550062.00000000,167 SUFFOLK STREET,C4,6.0000000,26,1900,40.7211959,-73.9852449
1003550067.00000000,157 SUFFOLK STREET,C1,6.0000000,35,1900,40.7209407,-73.9853748
1003550044.00000000,178 NORFOLK STREET,C7,6.0000000,20,1900,40.7212673,-73.9856057
1003500030.00000000,168 STANTON STREET,C7,6.0000000,20,1920,40.7204218,-73.9845200
1003490026.00000000,61 CLINTON STREET,C4,6.0000000,22,1920,40.7195710,-73.9851046
1003490032.00000000,158 RIVINGTON STREET,C7,6.0000000,9,1900,40.7193569,-73.9852706
1003490027.00000000,63 CLINTON STREET,C4,6.0000000,22,1920,40.7195079,-73.9851371
1003850002.00000000,21 AVENUE B,C7,6.0000000,7,1900,40.7220959,-73.9831090
1003720023.00000000,300 EAST 3 STREET,C1,6.0000000,12,2001,40.7209645,-73.9795378
1003720039.00000000,11 AVENUE D,C7,6.0000000,16,1900,40.7205252,-73.9786541
1003980053.00000000,170 EAST 2 STREET,C7,6.0000000,36,1900,40.7227796,-73.9846457
1003720001.00000000,14 AVENUE C,C7,6.0000000,27,1920,40.7210553,-73.9807751
1003850034.00000000,31 AVENUE C,C7,6.0000000,20,1900,40.7216811,-73.9809337
1003850035.00000000,29 AVENUE C,C1,6.0000000,13,2000,40.7216152,-73.9809842
1003850037.00000000,25 AVENUE C,C1,6.0000000,13,2000,40.7214890,-73.9810781
1003850050.00000000,240 EAST 2 STREET,C4,6.0000000,24,1910,40.7216072,-73.9818609
1003840026.00000000,243 EAST 2 STREET,C4,6.0000000,10,1900,40.7211927,-73.9819512
1003850054.00000000,232 EAST 2 STREET,C4,6.0000000,24,1910,40.7217362,-73.9821711
1003850055.00000000,230 EAST 2 STREET,C4,6.0000000,24,1910,40.7217692,-73.9822432
1003850038.00000000,21 AVENUE C,C4,6.0000000,20,1900,40.7213820,-73.9810925
1003970018.00000000,171 EAST 2 STREET,C1,6.0000000,18,1900,40.7223734,-73.9848911
1003970033.00000000,14 AVENUE B,C7,6.0000000,25,1925,40.7219862,-73.9837440
1003970022.00000000,181 EAST 2 STREET,C4,6.0000000,50,1910,40.7222169,-73.9845123
1003970025.00000000,185 EAST 2 STREET,C6,6.0000000,23,1915,40.7221592,-73.9843825
1003980043.00000000,190 EAST 2 STREET,C7,6.0000000,28,1900,40.7224858,-73.9839495
1003980061.00000000,156 EAST 2 STREET,C7,6.0000000,26,1919,40.7229718,-73.9852012
1003980066.00000000,24 AVENUE A,C6,6.0000000,20,1900,40.7230404,-73.9854429
1003890007.00000000,105 AVENUE B,C7,6.0000000,12,1900,40.7247855,-73.9811096
1003890054.00000000,613 EAST 6 STREET,C6,6.0000000,14,1920,40.7243243,-73.9806876
1003760041.00000000,745 EAST 6 STREET,C4,6.0000000,28,1900,40.7228799,-73.9772679
1003870047.00000000,279 EAST 4 STREET,C4,6.0000000,12,1900,40.7228559,-73.9809514
1003870048.00000000,277 EAST 4 STREET,C1,6.0000000,13,1920,40.7228888,-73.9810308
1003870157.00000000,619 EAST 5 STREET,C1,6.0000000,40,1900,40.7236656,-73.9810089
1003870119.00000000,620 EAST 6 STREET,C7,6.0000000,22,1920,40.7239153,-73.9808537
1003870141.00000000,73 AVENUE C,C6,6.0000000,16,1920,40.7231713,-73.9798654
1003740041.00000000,41 AVENUE D,C7,6.0000000,20,1900,40.7214967,-73.9779503
1003750030.00000000,742 EAST 6 STREET,C6,6.0000000,19,1902,40.7226247,-73.9777875
1003750039.00000000,67 AVENUE D,C7,6.0000000,16,1910,40.7223008,-73.9773800
1003730040.00000000,327 EAST 3 STREET,C6,6.0000000,25,1920,40.7208929,-73.9784230
1003730046.00000000,317 EAST 3 STREET,C6,6.0000000,35,1925,40.7211510,-73.9787982
1003730032.00000000,37 AVENUE D,C7,6.0000000,16,1900,40.7212579,-73.9781415
1003750042.00000000,63 AVENUE D,C7,6.0000000,16,1900,40.7221608,-73.9774738
1003730049.00000000,311 EAST 3 STREET,C6,6.0000000,36,1920,40.7212169,-73.9789533
1003730019.00000000,332 EAST 4 STREET,C7,6.0000000,28,1920,40.7215655,-73.9790506
1003730016.00000000,326 EAST 4 STREET,C1,6.0000000,10,1899,40.7216726,-73.9792994
1003740065.00000000,307 EAST 4 STREET,C6,6.0000000,20,1900,40.7222710,-73.9795807
1003740006.00000000,64 AVENUE C,C6,6.0000000,16,1910,40.7225921,-73.9796130
1003740008.00000000,702 EAST 5 STREET,C6,6.0000000,8,1900,40.7226800,-73.9795481
1003730017.00000000,328 EAST 4 STREET,C1,6.0000000,10,1900,40.7216424,-73.9792273
1003870015.00000000,610 EAST 5 STREET,C6,6.0000000,23,1900,40.7234269,-73.9815826
1003860011.00000000,250 EAST 4 STREET,C4,6.0000000,34,1900,40.7228835,-73.9821636
1003870143.00000000,653 EAST 5 STREET,C6,6.0000000,8,1900,40.7230972,-73.9799231
1004480024.00000000,80 EAST 7 STREET,C7,6.0000000,22,1852,40.7270671,-73.9864956
1004490043.00000000,77 EAST 7 STREET,C7,6.0000000,16,1899,40.7274431,-73.9862971
1004490044.00000000,73 EAST 7 STREET,C7,6.0000000,33,1897,40.7275035,-73.9864089
1004340019.00000000,110 EAST 7 STREET,C7,6.0000000,23,1898,40.7263423,-73.9847820
1004340049.00000000,417 EAST 6 STREET,C1,6.0000000,24,1897,40.7262298,-73.9852186
1004350043.00000000,117 EAST 7 STREET,C7,6.0000000,27,1907,40.7266085,-73.9842948
1003890032.00000000,99 AVENUE C,C7,6.0000000,22,1907,40.7239892,-73.9792590
1003500075.00000000,184 STANTON STREET,C4,6.0000000,9,1920,40.7201555,-73.9837083
1003940053.00000000,631 EAST 11 STREET,C4,6.0000000,30,1910,40.7270548,-73.9778979
1003790057.00000000,713 EAST 9 STREET,C4,6.0000000,24,1900,40.7251635,-73.9771373
1004400003.00000000,202 1 AVENUE,C7,6.0000000,20,1905,40.7301298,-73.9830817
1004060004.00000000,200 AVENUE A,C4,6.0000000,15,1910,40.7292566,-73.9808413
1004400040.00000000,437 EAST 12 STREET,C7,6.0000000,38,1910,40.7294956,-73.9817036
1004380023.00000000,430 EAST 11 STREET,C7,6.0000000,22,1910,40.7285597,-73.9826239
1004040004.00000000,170 AVENUE A,C7,6.0000000,25,1920,40.7282247,-73.9816354
1004050010.00000000,504 EAST 12 STREET,C7,6.0000000,28,1930,40.7286885,-73.9809786
1004380027.00000000,173 AVENUE A,C7,6.0000000,20,1920,40.7284636,-73.9821296
1004520050.00000000,215 EAST 10 STREET,C7,6.0000000,24,1900,40.7295812,-73.9857734
1004540059.00000000,323 EAST 12 STREET,C4,6.0000000,37,1900,40.7307421,-73.9846655
1003950003.00000000,199 AVENUE B,C7,6.0000000,23,1910,40.7282928,-73.9785541
1003790015.00000000,412 EAST 10 STREET,C6,6.0000000,26,1930,40.7253529,-73.9768883
1003920045.00000000,635 EAST 9 STREET,C4,6.0000000,24,1900,40.7258171,-73.9786957
1003940050.00000000,635 EAST 11 STREET,C4,6.0000000,11,1900,40.7269807,-73.9777175
1003790017.00000000,416 EAST 10 STREET,C6,6.0000000,30,1900,40.7252952,-73.9767548
1003920037.00000000,145 AVENUE C,C7,6.0000000,25,1900,40.7255123,-73.9781437
1003790012.00000000,406 EAST 10 STREET,C6,6.0000000,22,1930,40.7254325,-73.9770759
1003920022.00000000,374 EAST 10 STREET,C4,6.0000000,17,1900,40.7260888,-73.9786234
1003920027.00000000,384 EAST 10 STREET,C4,6.0000000,45,1900,40.7259213,-73.9782302
1003930051.00000000,367 EAST 10 STREET,C6,6.0000000,14,1900,40.7265938,-73.9786882
1003920041.00000000,643 EAST 9 STREET,C4,6.0000000,10,1900,40.7257072,-73.9784359
1003930016.00000000,620 EAST 11 STREET,C4,6.0000000,26,1900,40.7269040,-73.9786989
1003940052.00000000,633 EAST 11 STREET,C6,6.0000000,24,1937,40.7270136,-73.9777969
1004400007.00000000,210 1 AVENUE,C7,6.0000000,20,1912,40.7303274,-73.9829590
1004060050.00000000,527 EAST 12 STREET,C6,6.0000000,48,1901,40.7287322,-73.9798890
1004040021.00000000,534 EAST 11 STREET,C6,6.0000000,29,1920,40.7276070,-73.9803764
1004040014.00000000,520 EAST 11 STREET,C7,6.0000000,27,1900,40.7278239,-73.9808850
1004040016.00000000,522 EAST 11 STREET,C4,6.0000000,23,1900,40.7277744,-73.9807696
1004040018.00000000,528 EAST 11 STREET,C7,6.0000000,33,1900,40.7276729,-73.9805315
1004040013.00000000,518 EAST 11 STREET,C6,6.0000000,13,1900,40.7278651,-73.9809824
1004070031.00000000,228 AVENUE B,C7,6.0000000,21,1900,40.7292864,-73.9784564
1004060021.00000000,530 EAST 13 STREET,C7,6.0000000,38,1900,40.7289215,-73.9795462
1004410031.00000000,221 AVENUE A,C7,6.0000000,22,1900,40.7302612,-73.9808338
1004410035.00000000,211 AVENUE A,C7,6.0000000,35,1900,40.7299758,-73.9810432
1004050046.00000000,533 EAST 11 STREET,C4,6.0000000,14,1920,40.7280406,-73.9802392
1004370005.00000000,156 1 AVENUE,C7,6.0000000,22,1900,40.7283816,-73.9843305
1004370007.00000000,160 1 AVENUE,C7,6.0000000,22,1900,40.7284914,-73.9842511
1004400030.00000000,444 EAST 13 STREET,C7,6.0000000,15,1900,40.7297343,-73.9814798
1004400051.00000000,417 EAST 12 STREET,C1,6.0000000,15,1920,40.7298333,-73.9825081
1004060011.00000000,510 EAST 13 STREET,C7,6.0000000,27,1900,40.7292785,-73.9803903
1004070054.00000000,513 EAST 13 STREET,C7,6.0000000,27,1900,40.7296270,-73.9800330
1004060009.00000000,506 EAST 13 STREET,C7,6.0000000,27,1900,40.7293279,-73.9805094
1004400033.00000000,205 AVENUE A,C7,6.0000000,9,1900,40.7296163,-73.9813031
1004370006.00000000,158 1 AVENUE,C7,6.0000000,10,1920,40.7284447,-73.9843052
1004400053.00000000,413 EAST 12 STREET,C7,6.0000000,16,1920,40.7298992,-73.9826632
1004380028.00000000,171 AVENUE A,C7,6.0000000,18,1900,40.7284032,-73.9821765
1004380050.00000000,255 EAST 10 STREET,C4,6.0000000,23,1900,40.7286560,-73.9835836
1004400008.00000000,214 1 AVENUE,C7,6.0000000,25,1910,40.7304207,-73.9828832
1004400014.00000000,410 EAST 13 STREET,C4,6.0000000,35,1900,40.7301929,-73.9825802
1004400018.00000000,416 EAST 13 STREET,C4,6.0000000,35,1900,40.7301352,-73.9824503
1004400019.00000000,420 EAST 13 STREET,C4,6.0000000,33,1900,40.7300858,-73.9823240
1004400021.00000000,424 EAST 13 STREET,C4,6.0000000,35,1900,40.7300336,-73.9821977
1004400050.00000000,419 EAST 12 STREET,C4,6.0000000,11,1900,40.7298003,-73.9824323
1004400052.00000000,415 EAST 12 STREET,C6,6.0000000,15,1900,40.7298580,-73.9825911
1004070029.00000000,232 AVENUE B,C7,6.0000000,25,1900,40.7293715,-73.9783950
1004400038.00000000,195 AVENUE A,C7,6.0000000,40,1910,40.7293336,-73.9815088
1004040012.00000000,516 EAST 11 STREET,C7,6.0000000,18,1900,40.7278980,-73.9810654
1004370021.00000000,280 EAST 10 STREET,C7,6.0000000,33,1900,40.7279669,-73.9830822
1004370133.00000000,445 EAST 9 STREET,C7,6.0000000,10,1900,40.7274619,-73.9828406
1004070032.00000000,224 AVENUE B,C7,6.0000000,26,1905,40.7291986,-73.9785214
1004050012.00000000,508 EAST 12 STREET,C7,6.0000000,28,1930,40.7286391,-73.9808595
1004060027.00000000,544 EAST 13 STREET,C4,6.0000000,14,1900,40.7287842,-73.9790988
1004070018.00000000,520 EAST 14 STREET,C7,6.0000000,44,1900,40.7296901,-73.9793944
1004070040.00000000,541 EAST 13 STREET,C4,6.0000000,15,1900,40.7291547,-73.9789111
1004400024.00000000,432 EAST 13 STREET,C7,6.0000000,38,1900,40.7299101,-73.9819019
1004070027.00000000,538 EAST 14 STREET,C7,6.0000000,20,1920,40.7294072,-73.9787270
1004520021.00000000,326 EAST 11 STREET,C4,6.0000000,15,1900,40.7296141,-73.9851276
1004540047.00000000,345 EAST 12 STREET,C7,6.0000000,37,1920,40.7304373,-73.9839403
1004510014.00000000,206 EAST 10 STREET,C4,6.0000000,26,1900,40.7293480,-73.9863580
1004520017.00000000,318 EAST 11 STREET,C7,6.0000000,16,1900,40.7297486,-73.9854451
1004520047.00000000,221 EAST 10 STREET,C7,6.0000000,24,1900,40.7294796,-73.9855353
1004520048.00000000,219 EAST 10 STREET,C7,6.0000000,21,1900,40.7295126,-73.9856147
1004520052.00000000,211 EAST 10 STREET,C1,6.0000000,20,1900,40.7296471,-73.9859322
1004540024.00000000,334 EAST 13 STREET,C7,6.0000000,34,1900,40.7309040,-73.9842505
1004540060.00000000,321 EAST 12 STREET,C6,6.0000000,36,1920,40.7308025,-73.9848062
1004550021.00000000,328 EAST 14 STREET,C7,6.0000000,33,1900,40.7316011,-73.9839220
1004530008.00000000,188 2 AVENUE,C7,6.0000000,20,1920,40.7307697,-73.9856866
1004540063.00000000,315 EAST 12 STREET,C6,6.0000000,36,1900,40.7308684,-73.9849650
1004510023.00000000,224 EAST 10 STREET,C7,6.0000000,22,1900,40.7290487,-73.9856437
1004510032.00000000,159 1 AVENUE,C7,6.0000000,30,1900,40.7287659,-73.9848067
1004520046.00000000,223 EAST 10 STREET,C7,6.0000000,21,1900,40.7294467,-73.9854560
1004510018.00000000,214 EAST 10 STREET,C7,6.0000000,22,1900,40.7292135,-73.9860405
1004510019.00000000,216 EAST 10 STREET,C7,6.0000000,28,1900,40.7291640,-73.9859215
1004510056.00000000,311 EAST 9 STREET,C1,6.0000000,7,1900,40.7290845,-73.9864446
1004510054.00000000,315 EAST 9 STREET,C7,6.0000000,24,1900,40.7290186,-73.9862859
1004510046.00000000,331 EAST 9 STREET,C7,6.0000000,9,1900,40.7287852,-73.9857339
1004540050.00000000,339 EAST 12 STREET,C1,6.0000000,37,1900,40.7305032,-73.9840991
1004540056.00000000,329 EAST 12 STREET,C1,6.0000000,24,1900,40.7306625,-73.9844743
1004540057.00000000,327 EAST 12 STREET,C7,6.0000000,22,1900,40.7306982,-73.9845573
1004540032.00000000,346 EAST 13 STREET,C1,6.0000000,24,1920,40.7307338,-73.9838465
1004550050.00000000,329 EAST 13 STREET,C1,6.0000000,24,1910,40.7312800,-73.9839546
1004550042.00000000,219 1 AVENUE,C7,6.0000000,9,1910,40.7308545,-73.9832511
1004510021.00000000,220 EAST 10 STREET,C6,6.0000000,9,1900,40.7291146,-73.9858024
1004520019.00000000,322 EAST 11 STREET,C6,6.0000000,24,1900,40.7296827,-73.9852863
1004510044.00000000,335 EAST 9 STREET,C7,6.0000000,8,1900,40.7287193,-73.9855788
1004510045.00000000,333 EAST 9 STREET,CB,6.0000000,9,1900,40.7287523,-73.9856582
1004540004.00000000,198 2 AVENUE,C7,6.0000000,33,1920,40.7311347,-73.9853943
1004680027.00000000,236 EAST 13 STREET,C7,6.0000000,84,1900,40.7317634,-73.9862889
1004690040.00000000,245 EAST 13 STREET,C7,6.0000000,24,1920,40.7320927,-73.9858775
1004690042.00000000,243 EAST 13 STREET,C7,6.0000000,18,1920,40.7321394,-73.9859822
1004690043.00000000,241 EAST 13 STREET,C1,6.0000000,23,1900,40.7321751,-73.9860688
1004690044.00000000,239 EAST 13 STREET,C4,6.0000000,24,1920,40.7322107,-73.9861517
1004680045.00000000,233 EAST 12 STREET,C5,6.0000000,22,1930,40.7314724,-73.9863936
1004690047.00000000,231 EAST 13 STREET,C4,6.0000000,26,1920,40.7322959,-73.9863574
1003920048.00000000,627 EAST 9 STREET,C1,6.0000000,35,1900,40.7259571,-73.9790275
1003920036.00000000,149 AVENUE C,C6,6.0000000,9,1900,40.7256001,-73.9780788
1003930023.00000000,632 EAST 11 STREET,C7,6.0000000,33,1900,40.7266871,-73.9781867
1003930047.00000000,377 EAST 10 STREET,C4,6.0000000,12,1900,40.7264703,-73.9783960
1003930018.00000000,622 EAST 11 STREET,C1,6.0000000,26,1900,40.7268710,-73.9786195
1003950001.00000000,195 AVENUE B,C7,6.0000000,16,1910,40.7281364,-73.9786697
1004500016.00000000,324 EAST 9 STREET,C7,6.0000000,22,1910,40.7285877,-73.9863690
1003760005.00000000,98 AVENUE C,C6,6.0000000,22,1900,40.7237366,-73.9787829
1003790037.00000000,133 AVENUE D,C7,6.0000000,20,1930,40.7245786,-73.9757160
1004690046.00000000,235 EAST 13 STREET,C4,6.0000000,23,1920,40.7322492,-73.9862492
